Headlines,Summary,Youtube URL,Date & Time,Author,Tags
Python Quick Tip: The Difference Between “==” and “is” (Equality vs Identity), we will be learning the difference between using “==” and the “is” keyword when doing comparisons,https://youtube.com/watch?v=mO_dS3rXDIs,"August 6, 2019",Corey Schafer,Python
Python Tutorial: Calling External Commands Using the Subprocess Module, we will be learning how to run external commands using the subprocess module from the standard library,https://youtube.com/watch?v=2Fp1N6dof0Y,"July 24, 2019",Corey Schafer,Python
Visual Studio Code (Windows) – Setting up a Python Development Environment and Complete Overview, we will be learning how to set up a Python development environment in VSCode on Windows,https://youtube.com/watch?v=-nh9rCzPJ20,"May 1, 2019",Corey Schafer,Python
Visual Studio Code (Mac) – Setting up a Python Development Environment and Complete Overview, we will be learning how to set up a Python development environment in VSCode on MacOS,https://youtube.com/watch?v=06I63_p-2A4,"May 1, 2019",Corey Schafer,Python
Clarifying the Issues with Mutable Default Arguments, we will be clarifying the issues with mutable default arguments,https://youtube.com/watch?v=_JGmemuINww,"April 24, 2019",Corey Schafer,Python
5 Common Python Mistakes and How to Fix Them, we will be going over some of the most common mistakes,https://youtube.com/watch?v=zdJEYhA2AZQ,"April 22, 2019",Corey Schafer,Python
How I Setup a New Development Machine – Using Scripts to Automate Installs and Save Time, I’ll be showing how I set up a new development machine,https://youtube.com/watch?v=kIdiWut8eD8,"April 15, 2019",Corey Schafer,Development
How to Write Python Scripts to Analyze JSON APIs and Sort Results, we will be learning how to grab data from a JSON API,https://youtube.com/watch?v=1lxrb_ezP-g,"April 9, 2019",Corey Schafer,Python
Homebrew Tutorial: Simplify Software Installation on Mac Using This Package Manager, we’ll be learning how to use the Homebrew Package Manager on MacOS,https://youtube.com/watch?v=SELYgZvAZbU,"April 9, 2019",Corey Schafer,Terminal
Python Tutorial: VENV (Windows) – How to Use Virtual Environments with the Built-In venv Module, we will be learning how to use virtual environments on the Windows operating systems with the built-in venv module,https://youtube.com/watch?v=APOPm01BVrk,"April 6, 2019",Corey Schafer,Python
